НИМЕНОВАНИЕ;ХАРКТЕРИСТИКА;ЦЕНА ЕВРО ();БРЕНД
Термостат FGT100;N.C. / Обогрев /Диапозон температур -10 ... +50/;18;DBK
Термостат FGT102;N.C. / Обогрев /Диапозон температур -20 ... +40;18;DBK
Термостат FGT200;N.O.  / Охлождение /Диапозон температур   0 ... +60;18;DBK
Термостат TBT-NC;N.C. / Обогрев /Диапозон температур -0 ... +60/;15;DBK
Термостат TBT-NO;N.O.  / Охлождение /Диапозон температур   0 ... +60;15;DBK
"
Термостат NO (охлаждение) 2А 230В TDM";Термостат NO (охлаждение) 2А 230В TDMSQ0832-0019 ;9;
"
Термостат NС (обогрев) 10А 230В TDM";Термостат NС (обогрев) 10А 230В TDMSQ0832-0020;9;
